"WATER QUALITY DATA OF DRAINS, STPS IN ANDHRA PRADESH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
"4466","JARANGLA NALLAH D/S WATER
SUPPLY SCHEME","DRAIN","HIMACHAL PRADESH","9","15","8.5","9.1","7.4","8.3","166","488","1.0","2.1","0.30","2.12","5","310","84","1500","2","2"
"4474","HALOG NALLAH NEAR HALOG WATER
SUPPLY SCHEME","DRAIN","HIMACHAL PRADESH","7","13","9.0","9.8","7.9","8.4","72","267","1.0","1.0","0.32","2.14","7","110","170","1600","2","2"
"4475","MACHADA NALLAH, MAJHOUTI
WATER SUPPLY SCHEME NEAR
NIRATH","DRAIN","HIMACHAL PRADESH","7","14","9.4","9.7","7.9","8.4","71","255","1.0","1.0","0.32","2.14","4","140","70","1600","2","2"
"4476","MANALSU NALLAH NEAR WATER
SUPPLY SCHEME FOR MANALI TOWN","DRAIN","HIMACHAL PRADESH","2","17","7.6","8.9","7.0","8.5","54","234","1.0","1.0","0.32","0.51","27","94","210","430","2","2"
"4477","KHALADA NALLAH NEAR WATER
SUPPLY SCHEME FOR KULLU TOWN","DRAIN","HIMACHAL PRADESH","3","22","6.5","8.3","7.0","8.3","167","292","1.0","1.0","0.34","2.61","34","110","210","540","2","2"
"4480","SURAJMUKHI NALLAH D/S STP AT U/S
OF SHOOLINI UNIVERSITY SAMTI
SOLAN","DRAIN","HIMACHAL PRADESH","6","23","6.8","8.2","7.1","8.5","456","917","1.0","1.6","1.60","18.43","2","11","17","240","2","2"
"4481","HATHLI NALLAH LIFT WATER SUPPLY
SCHEME FOR MUNICIPAL COUNCIL
HAMIRPUR","DRAIN","HIMACHAL PRADESH","10","25","6.8","8.9","7.3","8.3","231","726","1.0","2.8","0.32","3.22","4","920","27","1600","2","2"
"4482","LIFT WATER SUPPLY SCHEME
(PANJARAR) AND BHOTA ROPARI &
UJHAN","DRAIN","HIMACHAL PRADESH","10","23","6.0","8.9","7.4","8.2","218","529","1.0","2.7","0.32","4.44","4","350","32","920","2","2"
"5253","HURLA NALLA D/S HURLA BRIDGE,
VPO HURLA, TEHSIL BHUNTER, DIS.
KULLU","DRAIN","HIMACHAL PRADESH","3","18","7.4","8.1","7.0","8.3","95","214","1.0","1.0","0.32","0.78","38","140","150","540","2","2"
"5257","KALAM NALLA D/S OF MSW
PROCESSING SITE AT CHOWRI, DIST.
CHAMBA","DRAIN","HIMACHAL PRADESH","11","15","0.3","9.1","7.1","8.1","114","421","1.0","1.6","0.30","3.10","5","940","23","1700","2","2"
""
"WATER QUALITY DATA OF DRAINS IN JAMMU & KASHMIR MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
