"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
"30088","RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.","HIMACHAL
PRADESH","17","25","7.2","9.6","7.6","8.3","239","1173","1.0","6.0","0.32","0.40","2","2100","47","35000","45","49"
"1017","RIVER SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL","PUNJAB","17","24","7.1","9.9","7.1","8.3","208","321","1.0","1.0","0.50","2.50","17","46","61","110","",""
"1380","RIVER SUTLEJ AT D/S NFL, PUNJAB","PUNJAB","16","25","7.4","11.3","7.2","8.4","212","382","1.0","1.0","0.80","4.50","17","68","40","170","",""
"2915","RIVER SUTLEJ AT 100 MT. D/S OF PACL, NANGAL,
PUNJAB","PUNJAB","16","25","7.3","11.2","7.2","8.4","214","375","1.0","1.0","0.70","4.50","18","92","40","120","",""
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"4059","RIVER RAVI AT RANJIT SAGAR DAM, AT PANAGAR
(BASOHIL)","JAMMU &
KASHMIR","13","25","6.8","7.4","7.3","7.9","120","198","1.0","1.0","0.02","0.32","","","","","",""
"4060","RIVER RAVI AT DAM-SITE AT THEIN","JAMMU &
KASHMIR","14","24","6.4","7.5","7.5","8.1","126","195","1.0","1.0","0.02","0.32","","","","","",""
"4061","RIVER RAVI AT LAKHANPUR, 1 KM D/S FROM
MADHOPUR BRIDGE","JAMMU &
KASHMIR","15","23","5.1","7.3","7.5","7.9","144","224","1.0","2.2","0.03","1.09","","","","","",""
"1089","RIVER RAVI U/S CHAMBA","HIMACHAL
PRADESH","11","17","7.5","9.1","6.9","8.0","142","353","1.0","1.9","0.30","2.16","2","320","63","2200","2","2"
"1088","RIVER RAVI AT U/S MADHOPUR","HIMACHAL
PRADESH","9","22","8.1","9.0","7.2","8.3","182","451","1.0","1.3","0.42","5.89","7","490","110","2100","2","2"
"2614","RIVER RAVI CHAMERA-I RESERVOIR","HIMACHAL
PRADESH","11","15","8.2","9.3","7.4","8.1","148","358","1.0","1.4","0.40","4.99","4","700","41","3500","2","2"
"2615","RIVER RAVI D/S CHAMERA- III HEP DAM","HIMACHAL
PRADESH","10","16","8.0","9.2","7.0","8.2","149","478","1.0","1.7","0.30","5.34","2","630","23","4300","2","2"
"2613","RIVER RAVI AT D/S OF CHAMBA TOWN","HIMACHAL
PRADESH","11","15","7.1","8.7","7.2","8.1","137","387","1.0","2.3","0.30","4.19","7","700","94","2100","2","2"
"3873","RIVER RAVI U/S STP AT BHARGA","HIMACHAL
PRADESH","11","16","7.4","15.0","6.9","8.2","136","353","1.0","2.5","0.30","2.29","2","380","84","2800","2","2"
"Station
Code","Name of the monitoring Location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"3874","RIVER RAVI D/S STP AT BHAGOT","HIMACHAL
PRADESH","11","17","7.2","8.9","7.1","8.1","141","430","1.0","1.9","0.30","3.68","2","460","70","3500","2","2"
"30089","RIVER RAVI AT LAKHANPUR, J & K","JAMMU &
KASHMIR","18","31","8.0","10.0","8.0","8.7","175","248","1.0","1.0","0.32","0.82","170","1700","330","49000","13","31"
"30085","RIVER RAVI AT MADHOPUR (PUNJAB)","PUNJAB","17","27","8.0","10.2","8.1","8.3","170","229","1.0","6.0","0.32","0.69","20","9200","330","17000","5","33"
"1097","RIVER RAVI AT U/S OF MADHOPUR HEADWORKS,
GURDASPUR, PUNJAB","PUNJAB","8","42","8.1","8.7","7.4","7.8","170","240","1.0","1.2","0.30","0.64","14","27","63","110","",""
"1090","RIVER SAINJ D/S LARJI","HIMACHAL
PRADESH","4","19","7.8","8.5","7.1","8.4","74","185","1.0","1.0","0.32","0.73","21","79","140","350","2","2"
"1290","RIVER PARVATI BEFORE CONF. TO RIVER BEAS AT
BHUNTER","HIMACHAL
PRADESH","4","18","7.5","8.2","6.8","8.4","56","201","1.0","1.0","0.32","1.15","48","140","220","540","2","2"
"2605","RIVER PARVATI AT U/S MANIKARAN","HIMACHAL
PRADESH","2","17","7.5","8.2","6.8","8.4","46","121","1.0","1.0","0.32","1.32","21","40","110","240","2","2"
"2606","RIVER PARVATI AT D/S MANIKARAN","HIMACHAL
PRADESH","3","17","7.5","8.1","6.6","8.6","45","98","1.0","1.0","0.32","1.16","22","84","130","280","2","2"
