"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"3179","SAIPEM LAKE","LAKE","GOA","27","30","0.9","5.2","6.5","8.0","212","3679","1.7","6.4","0.32","4.32","460","4900","700","11000","94","330"
"3180","CURTORIM LAKE","LAKE","GOA","27","30","3.2","8.1","6.2","8.3","84","8521","1.0","4.2","0.32","0.62","130","2300","220","4900","94","330"
"4408","HARWALE WATER FALL","LAKE","GOA","27","31","6.0","8.1","6.7","7.6","48","201","1.0","1.9","0.32","0.73","1300","4900","1700","9400","220","490"
"5103","BATIM LAKE, GOA VELHA,
TISWADI - GOA","LAKE","GOA","26","30","1.4","7.6","5.9","7.5","61","1316","1.0","5.0","0.32","0.32","310","2800","430","3500","110","280"
"5104","SARZORA LAKE, CHINCHINM,
SALCETE - GOA","LAKE","GOA","26","30","5.0","8.5","6.8","8.2","64","7716","1.0","1.9","0.32","0.32","78","1400","170","2400","11","120"
"5280","AMBULOR LAKE, VERNA,
SALCETE - GOA","LAKE","GOA","28","29","2.6","7.8","6.3","7.8","64","9343","1.0","4.7","0.32","0.82","78","2400","110","9200","40","330"
"5624","Dashi Lake, Revora Mapusa-Goa","LAKE","GOA","26","31","5.2","7.0","6.1","7.3","68","199","1.0","1.9","0.32","0.32","130","2400","230","3500","33","170"
"5625","Toyyar Lake, Chimbel Tiswadi-
Goa","LAKE","GOA","26","32","6.3","7.7","6.3","7.9","43","80","1.0","1.8","0.32","1.07","130","2400","240","5400","33","170"
"5626","Cottombi Lake, Quepem-Goa","LAKE","GOA","28","30","2.3","7.0","6.3","7.5","56","1069","1.0","5.8","0.32","0.80","330","2200","490","5400","27","280"
"5627","Xeldem Lake, Quepem-Goa","LAKE","GOA","28","30","1.3","8.1","6.1","8.3","58","9086","1.3","6.1","0.32","1.02","130","5400","330","9200","49","350"
"5628","Pilerne Lake/Saulem Lake,
Pilerne, Sangolda","LAKE","GOA","27","35","4.1","8.0","5.6","7.1","88","322","1.0","1.9","0.32","2.46","330","2400","490","5400","23","270"
"5629","Bondvol Lake, Calapur, Taleigao","LAKE","GOA","27","29","4.6","8.5","5.8","7.0","44","1306","1.2","1.8","0.32","0.34","230","940","630","1300","49","280"
"5630","Sulabhat Lake, Agacaim","LAKE","GOA","26","31","2.7","7.7","5.9","7.7","60","1309","1.0","3.9","0.32","0.53","790","2300","1300","5400","110","400"
"5631","Curca Lake, Tiswadi","LAKE","GOA","26","30","1.8","8.1","6.2","7.5","101","42490","1.1","5.6","0.32","1.00","330","1400","490","2400","79","240"
